,Order,Family,Species,Common name,Habitat,Feeding strategy,Trophic level,IUCN,Fisheries interest,G/GI,"Method 1,2,3",N,N of fish ingested,FO (%) ,PL (N/fish),Plastic type,Polymers,"Plastic size (mm)         < 1, 1-5, > 5",Life stage,Length (cm),Location,Region,Reference,Purpose of the study,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,,Oxycheilinus unifasciatus,Ringtail maori wrasse,"N, BP",BP,4.1,LC,Y,GI,1,1,0,0.00,,,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,,,Thalassoma purpureum,Surge wrasse,"N, D",BP,3.8,LC,Y,GI,1,2,1,50.00,,fragm,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,,,Thalassoma rueppellii,Klunzinger's wrasse,"N, D",BP,3.5,LC,Y,GI,3,12,1,8.33,1,fibres,"PP, PE",1-5,,16,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,,,Thalassoma trilobatum,Christmas wrasse,"N, D",BP,3.8,LC,Y,GI,1,4,1,25.00,,fragm,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,,,Tautogolabrus adspersus,Cunner,"N, B",BP,3.7,LC,Y,n/a,,6,,yes,,plastic pellets,PS,,,9.16,Atlantic North - New England ,ATL N,"Carpenter et al., 1972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,,Labrisomidae,Auchenionchus microcirrhis,n/a,"N, D",BP,3.7,LC,N,GI,3,16,16,100.00,,fibres,,,J,,Pacific South - Chile,PAC S,"Mizraji et al., 2017",,Contacted authors who provided Fos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,,Lateolabracidae,Lateolabrax japonicus,Japanese seabass,"N, BP",P,3.4,NE,Y,GI,3,18,18,100.00,2.6,"fibres, fragments",,,,,Pacific North - W - China Sea,PAC N,"Jabeen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,,Latidae,Lates calcarifer,Barramundi,"N, D",BP,3.8,NE,Y,GI,3,2,2,100.00,> 1000,fibres,"PA, PVA",< 1,,,Pacific North - W - China Sea,PAC N,"Ibrahim et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,,Leiognathidae,Photopectoralis bindus,Orangefin ponyfish,"N, D",O,2.9,NE,y,GI,3,18,18,100.00,5.6,"fibres, fragments",,,,,Pacific North - W - China Sea,PAC N,"Jabeen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,,Lethrinidae,Gnathodentex aurolineatus,Striped large-eye bream,"N, D",BP,3.7,NE,Y,GI,3,29,2,6.90,1,fragments,,,A,25TL,Pacific South - Tahiti,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,Gymnocranius grandoculis,Blue-lined large-eye bream,"N, D",BP,3.8,LC,N,GI ,3,10,2,20.00,1,fibres,"PP, PE",1-5,,28.2,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,,Lethrinus amboinensis,Ambon emperor,"N, D",BP,4,NE,Y,GI,3,26,6,23.08,1.7,fragments,,< 1,,38TL,Pacific South - Central Apia,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,,,Lethrinus microdon,Smalltooth emperor,"N, D",BP,3.8,LC,Y,GI,3,10,2,20.00,1,fibres,"PP, PE",1-5,,29.5,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,,,Lethrinus obsoletus,Orange-striped emperor,"N, D",BP,3.9,NE,Y,GI,3,30,4,13.33,1.3,fragments,,< 1,,27TL,Pacific South - Central Apia,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,Lutjanidae,Lipocheilus carnolabrum,Tang's snapper,"N, D",BP,3.9,LC,Y,GI,3,7,2,28.57,1,fibres,"PP, PE",1-5,,24.4,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,Lutjanus alexandrei,n/a,"N, D",BP,3.8,NE,n/a,GI,2,1,,no,,,,,,10,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,,,Lutjanus analis,Mutton snapper,"N, D",BP,3.9,NT,Y,GI,2,3,1,33.33,1,pellets,,1-5,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,G ,2,2,0,0.00,,,,,,,Atlantic South - Brazil,ATL S,"Miranda & de Carvalho-Souza, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,,Lutjanus campechanus,Northern red snapper,"N, BP",BP,3.9,VU,Y,GI,2,2,,yes,,,,,,,Atlantic North - Gulf of Mexico,ATL N,"Phillips and Bonner, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,,Lutjanus gibbus,Humpback red snapper,"N, BP",BP,4.1,LC,Y,GI,3,29,6,20.69,1.8,fragments,,< 1,,32TL,Pacific South - Central Apia,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,GI,3,5,0,0.00,,,,,,,Indian Ocean - Indonesia,IND,"Rochman et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,GI,1,1,0,0.00,,,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,,Lutjanus griseus,Grey snapper,"N, BP",BP,4.2,LC,Y,GI,2,5,,yes,,,,,,,Atlantic North - Gulf of Mexico,ATL N,"Phillips and Bonner, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,,Lutjanus jocu,Dog snapper,"N, D",BP,4.4,NE,Y,G ,2,5,0,0.00,,,,,,,Atlantic South - Brazil,ATL S,"Miranda & de Carvalho-Souza, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,GI,2,4,,no,,,,,,6-18,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,,,Lutjanus kasmira,Bluestripe snapper,"N, D",BP,3.9,LC,Y,GI ,3,12,2,16.67,1,fibres,"PP, PE",1-5,,24.5,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,,,Lutjanus synagris,Lane snapper,"N, D",BP,3.8,NT,Y,GI,2,2,1,50.00,1,pellets,,1-5,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,GI,2,2,,no,,,,,,5,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,,,Pristipomoides multidens,Gold banded jobfish,"N, D",BP,3.8,LC,Y,GI,3,10,2,20.00,1,fibres,"PP, PE",1-5,,28.2,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,Pristipomoides typus,Sharptooth jobfish,"N, D",BP,4.2,LC,N,GI,3,5,0,0.00,,,,,,28.5,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,,Malacanthidae,Branchiostegus japonicus,Horsehead tilefish,"N, D",P,3.4,LC,Y,GI,3,18,18,100.00,5.3,"fragm, fibres",,,,,Pacific North - W - China Sea,PAC N,"Jabeen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,Moronidae,Dicentrarchus labrax,European seabass,"N, D",BP,3.5,LC,Y,GI,3,40,9,22.50,1.3,fibres,"PES, PP",1-5,,14.3,Atlantic North - Portugal,ATL N,"Bessa et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,,,Morone americana  ,White perch,"N, D",BP,3.1,LC,Y,n/a,,12,4,33.33,,plastic pellets,PS,,,24.9,Atlantic North - New England ,ATL N,"Carpenter et al., 1972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,,Morone saxatilis,Striped bass,"N, D",BP,4.7??,LC,Y,GI,3,7,2,28.57,1.5,,,> 5,,,Pacific North  - East,PAC N,"Rochman et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,,,,,,,,,,n/a,1,1094,1,0.09,1,Cigar holder,,,,12.5-71.4,Atlantic North - North Carolina,ATL N,Manooch 1973,Diet study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,Mullidae,Mulloidichthys flavolineatus,Yellowstripe goatfish,"N, B",BP,3.8,LC,Y,GI,1,2,0,0.00,,,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,,,Mullus barbatus,Red mullet,"N, D",BP,3.1,NE,Y,GI,3,11,7,63.64,1.6,fragments,PE,< 1,,14.7,Mediterranean - Adriatic,MED,"Avio et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,G,3,128,24,18.75,1.9,fibres,,< 1,,16.8,Mediterranean - West,MED,"Bellas et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,GI,3,207,136,65.70,2.1,fibres,,< 1,,,Mediterranean - East ,MED,Guven et al 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,,,,,,,,,GI,3,12,11,91.67,13.3,"fibres, fragments",,< 1,,16.8,Mediterranean - East,MED,"Piccardo et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,,,,,,,,,,GI ,2,148,11,7.43,1.2,fibres,,,,15,Mediterranean - Adriatic & Ionian Sea,MED,"Anastasopoulou et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,GI,3,25,8,32.00,1.5,fibres,,,,12.9,Mediterranean - Adriatic & Ionian Sea,MED,"Anastasopoulou et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,GI,3,25,8,32.00,1.5,fragments,"PE, PP",< 1,A,12.9,Mediterranean - East,MED,"Digka et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,,Mullus surmuletus,Surmullet,"N, B",BP,3.5,NE,Y,G,2,4,4,100.00,1.75,fibres,"PE, PA, Ra, PEs, PMMA ",1-5,A,26,Atlantic North - Portugal,ATL N,"Neves et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,GI,3,51,33,64.71,1.8,fibres,,< 1,,,Mediterranean - East ,MED,Guven et al 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,G,2,417,114,27.34,,fibres,"PeT, Celloph",,,19.6,Mediterranean - West,MED,"Alomar et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,GI ,2,8,0,0.00,,,,,,19.8,Mediterranean - Adriatic & Ionian Sea,MED,"Anastasopoulou et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,GI,3,30,21,70.00,2.6,,,,,19.5,Mediterranean - Adriatic & Ionian Sea,MED,"Anastasopoulou et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,G,1,1298,0,0.00,,,,,,,Atlantic North - Spain,ATL N,"Lopez-Lopez et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,,,Upeneus moluccensis,Goldband goatfish,"N, D",BP,3.6,NE,Y,GI,3,18,8,44.44,1.8,fibres,,< 1,,,Mediterranean - East ,MED,Guven et al 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,,,Upeneus pori,Por's goatfish,"N, D",BP,3.5,NE,Y,GI,3,78,32,41.03,1.7,fibres,,< 1,,,Mediterranean - East ,MED,Guven et al 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,,Nemipteridae,Nemipterus randalli,Randall's theadfin bream,"N, D",BP,3.7,NE,Y,GI,3,135,74,54.81,2.2,fibres,,< 1,,,Mediterranean - East ,MED,Guven et al 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,,,Parascolopsis eriomma,Rosy dwarf mon. bream ,"N, D",BP,3.5,NE,Y,GI ,3,5,3,60.00,1,fibres,"PP, PE",1-5,,23.3,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,,Nototheniidae,Dissostichus mawsoni,Antarctic tootfish,"O, P",BP,3.9,NE,Y,"G, GI",2,10,1,10.00,2,fragments,PMMA,< 1,A,145.2,Pacific South - Australia,PAC S,"Cannon et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,,Odacidae,Haletta semifasciata,Blue weed whiting,"N, D",BP,3.2,LC,Y,"G, GI",2,2,0,0.00,,,,,,37.6,Pacific South - Australia,PAC S,"Cannon et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,,Polynemidae,Polydactylus oligodon,Littlescale threadfin,"N, B",BP,3.7,LC,Y,GI,2,1,1,100.00,3,pellets,,1-5,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,,,Polydactylus virginicus,Barbu,"N, D",BP,3.7,LC,Y,GI,2,14,,no,,,,,,10,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,GI,2,13,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,,Polyprionidae,Polyprion americanus,Wreckfish,"N, D",BP,4.1,DD,Y,GI,2,14,0,0.00,,,,,,,Mediterranean - Eastern Ionian Sea,MED,"Anastasopoulou et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,,,,,,,,,,G,2,1,0,0.00,,,,,,,Atlantic North - Portugal,ATL N,"Neves et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,,Pomacanthidae,Pygoplites diacanthus,Regal angelfish,"N, B",G,2.7,LC,N,GI,3,5,0,0.00,,,,,,14.1,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,,Pomacentridae,Abudefduf sexfasciatus,Scissortail sergeant,"N, BP",O,2.7,NE,N,GI,3,5,1,20.00,1,fibres,"PP, PE",1-5,,14.6,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,,,Abudefduf sordidus,Blackspot sergeant,"N, D",O,2.9,NE,Y,GI,1,1,0,0.00,,,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,,,Dascyllus trimaculatus,Threespot dascyllus,"N, BP",O,2.8,NE,N,GI ,3,2,0,0.00,,,,,,10.5,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,,Pomatomidae,Pomatomus saltatrix,Bluefish,"N-O, P",PP,4.5,VU,Y,GI,2,2,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,Priacanthidae,Heteropriacanthus cruentatus,Glasseye,"N, D",BP,3.6,LC,Y,GI,3,10,3,30.00,1,fragments,,< 1,A,37TL,Pacific South - East - Rapa Nui,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,,,Priacanthus arenatus,Atlantic bigeye,"N, D",BP,4,LC,Y,G,2,122,60,49.18,3.5,film,,,,14.5-24.9,Atlantic South - Brasil,ATL S,"Cardozo et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,,Rachycentridae,Rachycentron canadum,Cobia,"N-O, BP",PP,4,LC,Y,GI,2,1,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,Scaridae,Chlorurus sordidus,Daisy parrotfish,"N, B",G,2.6,LC,Y,GI,1,4,1,25.00,,fragm,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,Nicholsina usta,Emerald parrotfish,"N, D",G,2,LC,Y,GI,2,2,,no,,,,,,2,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,,,Scarus niger,Dusky parrotfish,"N, D",G,2,LC,Y,GI,3,30,7,23.33,1.1,"fragments, films",,< 1,,25TL,Pacific South - Central Apia,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,,,Scarus oviceps,Dark capped parrotfish,"N, D",G,2,LC,Y,GI,3,45,5,11.11,2.8,fragments,,< 1,,25TL,Pacific South - Central Apia,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,,,Scarus psittacus,Common parrotfish,"N, D",G,2,LC,Y,GI,3,30,5,16.67,1,film,,1-5,A,21TL,Pacific South - Tahiti,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,,Sciaenidae,Argyrosomus regius,Meagre,"N, BP",PP,4.3,NE,Y,G,2,5,3,60.00,1.3,"fragm, fibres","PE, PP, PA, Ra, PEs, PMMA ",1-5,,,Atlantic North - Portugal,ATL N,"Neves et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,GI,3,51,38,74.51,2.5,fibres,,< 1,,,Mediterranean - East ,MED,Guven et al 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,,,Bairdiella ronchus,Ground croaker,"N, D",BP,3.5,LC,Y,GI,2,4,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,,,Collichthys lucidus,n/a,"N, D",BP,3.5,NE,Y,GI,3,18,18,100.00,6.9,"fragm, fibres",,,,,Pacific North - W - China Sea,PAC N,"Jabeen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,,,Ctenosciaena gracilicirrhus,Barbel drum,"N, D",BP,3.9,LC,Y,GI,2,11,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,,,Cynoscion acoupa,Acoupa weakfish,"N, B",BP,4.1,LC,Y,G,2,530,340,64.15,,filaments,,,J,,Atlantic South - Brazil,ATL S,"Ferreira et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,GI,2,552,282,51.09,3.8,filaments,,1-5,,,Atlantic South - Brazil,ATL S,"Ferreira et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,,Cynoscion arenarius,"Sand trout, s. weakfish","N, D",BP,4.2,LC,Y,G ,2,139,60,43.17,1.8,"fibres, microbeads",,1-5,,20.5,Atlantic North - Texas,ATL N,"Peters et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,,Cynoscion jamaicensis,Jamaica weakfish,"N, D",BP,3.8,LC,Y,GI,2,3,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,,Cynoscion leiarchus,Cynoscion weakfish,"N, D",BP,3.1,LC,Y,GI,2,2,1,50.00,2,pellets,,1-5,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,,,,,,,,,,GI,2,9,,no,,,,,,2,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,,,Cynoscion microlepidotus,Smallscale weakfish,"N, D",BP,4,LC,Y,GI,2,16,3,18.75,1.3,pellets,,1-5,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,,,Cynoscion nebulosus,Spotted weakfish,"N, D",BP,4,LC,Y,GI,2,20,,yes,,,,,,,Atlantic North - Gulf of Mexico,ATL N,"Phillips and Bonner, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,,Cynoscion virescens,Green weakfish,"N, D",BP,4,LC,Y,GI,2,7,1,14.29,3,pellets,,1-5,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,,,Larimichthys crocea,Large yellow croaker,"N, BP",BP,3.7,NE,Y,GI,3,18,18,100.00,5.3,"fragm, fibres",,,,,Pacific North - W - China Sea,PAC N,"Jabeen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,,,Macrodon ancylodon,King weakfish,"N, D",BP,3.9,LC,Y,GI,2,13,1,7.69,2,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,,Menticirrhus americanus,Southern kingcroaker,"N, D",BP,3.5,LC,Y,G ,2,150,53,35.33,1.6,"fibres, microbeads",,1-5,,19.8,Atlantic North - Texas,ATL N,"Peters et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,GI,2,1,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,,,,,,,,,,GI,2,1,,no,,,,,,16,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,,,Micropogonias furnieri,Whitemouth croaker,"N, D",BP,3.1,LC,Y,GI,2,1,,no,,,,,,14,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,GI,2,6,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,,,Micropogonias undulatus,Atlantic croaker,"N, D",BP,4,LC,Y,G ,2,383,173,45.17,1.9,"fibres, microbeads",,1-5,,17.7,Atlantic North - Texas,ATL N,"Peters et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,GI,2,1,0,0.00,,,,,,,Atlantic North - Gulf of Mexico,ATL N,"Phillips and Bonner, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,n/a, ,n/a,,yes,,,,,,,Atlantic North - Gulf of Mexico,ATL N,"Hoss & Settle, 1990, Govoni (pers.comm)",Diet study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,,,Paralonchurus brasiliensis,Banded croaker,"N, D",BP,3.4,LC,Y,GI,2,6,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,,,Pogonias cromis,Black drum,"N, D",BP,3.9,LC,Y,GI,2,1,0,0.00,,,,,,,Atlantic North - Gulf of Mexico,ATL N,"Phillips and Bonner, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,,,Sciaena umbra,Brown meagre,"N, D",BP,3.8,NT,Y,GI,3,1,1,100.00,3,,,,,,Mediterranean - East ,MED,Guven et al 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,,,Sciaenops ocellatus,Red drum,"N, D",BP,3.7,LC,Y,GI,2,28,,yes,,,,,,,Atlantic North - Gulf of Mexico,ATL N,"Phillips and Bonner, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,,,Stellifer brasiliensis,n/a,"N, D",BP,3.4,NE,N,G,2,330,23,6.97,1,monofilament,PA,< 1,J-A,<20 SL,"Atlantic South - Brazil, Goiana Estuary",ATL S,"Dantas et al., 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,,,,,,,,,,GI,2,1,,no,,,,,,5,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
